slope_deg,roughness,edge_density,ndvi_mean,shadow_fraction,brightness_std,object_density,confidence_score,label
10.48357077,0.06675553057,0.09952308613,0.3982239296,0.2972856359,0.06772668225,0.18232703,0.7414852785,1
7.308678494,0.105710783,0.3772147135,0.6690147186,0.05782869902,0.1477404509,0.2721175945,0.8379125603,1
11.23844269,0.5357995621,0.06743651494,0.4387665136,0.1984514868,0.1328213388,0.1402291398,0.8026202146,0
15.61514928,0.1595713438,0.1823077951,0.08136182694,0.3796002784,0.1245681526,0.1706016387,0.7770063102,1
6.829233126,0.1228798987,0.1298029854,0.4924556657,0.110413866,0.1563280875,0.04442434752,0.8850569528,1
6.829315215,0.3099564477,0.4004707159,0.7979202211,0.2574198963,0.1393574628,0.1682276202,0.8389095203,0
15.89606408,0.500674124,0.2435783105,0.02779022612,0.03537869497,0.2060650995,0.1080301906,0.8873657872,0
11.83717365,0.1925333812,0.3735969661,0.673435358,0.3339517904,0.1043383619,0.06959585739,0.9261762863,1
5.65262807,0.6798139773,0.1453766025,0.1883846365,0.1135905244,0.1114593392,0.08822448506,0.8491897807,0
10.71280022,0.165806924,0.2151313681,0.3150929782,0.1346469458,0.1885782525,0.224999897,0.7383883951,1
5.682911536,0.4453257317,0.151198312,0.2981676094,0.2491635267,0.2747665437,0.1722990663,0.6744724223,1
5.671351232,0.2871034666,0.6298350352,0.7190377554,0.1635531434,0.2669429934,0.2072581817,0.6948203623,1
9.209811358,0.2051521025,0.1828210871,0.4035889511,0.1870159944,0.1865948534,0.1017637322,0.7388205263,1
0,0.3569483,0.1977691346,0.3577394295,0.6667761757,0.1324722857,0.444669211,0.8590318863,0
0,0.08720531597,0.5504645792,0.6544200871,0.1679035878,0.1232980014,0.4908791032,0.6140541356,1
5.188562354,0.2379115729,0.3720475894,0.03912570744,0.2925287665,0.1306458477,0.2000962792,0.8849985163,0
2.935844398,0.2125906369,0.3861153436,0.06916505208,0.4837845025,0.06293878673,0.2405306632,0.8653472261,0
9.571236663,0.3380474712,0.2051663412,0.0173510855,0.2408377423,0.1841471843,0.03383397001,0.7747958286,0
3.459879622,0.2905275608,0.3978340956,0.5503863232,0.0769556377,0.2160675911,0.1313538753,0.7398833894,1
0.9384814933,0.3479181329,0.2383550053,0.4204929097,0.2645346213,0.1432478505,0.08315748331,0.6394439683,0
15.32824384,0.4221996077,0.3882422681,0.7008177007,0.05230992285,0.2546452077,0.05299475293,0.7013955516,0
6.871118498,0.2424964232,0.4720837137,0.3988263224,0.007536690388,0.2863038943,0.3850601191,0.6383698257,1
8.337641023,0.3024763374,0.3036912329,0.1774556582,0.2612294422,0.1942543135,0.02533210325,0.8866095803,0
0.8762590689,0.5685546252,0.6183453231,0.6441178985,0.1184686845,0.1164816401,0.451333256,0.7782682521,0
5.278086377,0.2939324011,0.4320491764,0.2354590834,0.4810376503,0.1070899436,0.2541480892,0.686375373,0
8.554612949,0.2371806947,0.2983413365,0.7485518257,0.6119090432,0.1887034713,0.3559745834,0.606331272,0
2.245032113,0.4348483136,0.7247201559,0.2003391103,0.6024333289,0.2026638171,0.1101885914,0.783372339,0
9.878490092,0.2476647534,0.08707265044,0.1341765223,0.3247088136,0.1171575775,0.4299379632,0.8632304837,1
4.99680655,0.5915252922,0.2071404154,0.3946591932,0.4330368214,0.0920228653,0.01861838464,0.868272825,1
6.541531251,0.4941427379,0.407630552,0.04041209438,0.07242139168,0.06446410915,0.6833562074,0.6750491715,1
4.991466939,0.1927509224,0.37142693,0.02912938279,0.07758339941,0.09781787743,0.2200478168,0.9482717041,0
17.26139092,0.2157085806,0.03080445128,0.3968116362,0.2502624067,0.1290900248,0.1945354258,0.7990729707,1
7.932513876,0.4548274324,0.2780953583,0.1720855046,0.1563376216,0.2045236584,0.2952585907,0.7162024628,0
2.711445355,0.4320334729,0.4306704275,0.007482110716,0.2755862799,0.1213638428,0.6863974212,0.7374827115,0
12.11272456,0.4727380264,0.3308144001,0.2368455291,0.2651622133,-0.003378395261,0.2527131644,0.6435528972,0
1.89578175,0.2538973947,0.560465694,0.3818938831,0.4948153657,0.1172387417,0.0845236269,0.7726745469,1
9.044317975,0.2857213618,0.2278144055,0.3154309612,0.2592184326,0.1333425501,0.06087324182,0.8636534032,1
0,0.2317922806,0.6251078408,0.1083755729,0.05454467522,0.1322463475,0.3622231141,0.7432935341,1
1.359069756,0.2332041463,0.2654438895,0.4637398623,0.3714774141,0.02082701387,0.3877470579,0.9033984301,1
8.984306179,0.1697303259,0.475679007,0.5682663929,0.101447539,0.1329425728,0.09362810539,0.7668633323,1
11.6923329,0.4915121741,0.2132036334,0.5404313297,0.3626407418,0.2160017529,0.09944448238,0.9152134385,0
8.856841406,0.3319587752,0.7527084959,0.315009537,0.3106068472,0.1266920472,0.1083989749,0.8461213177,1
